carnum,ft1,lt1,ft2,lt2,ft4,lt4
’„G13CCF4EDB404857F9CD73F0046152FE9,7,17,7,17,7.0,16.0
’„G2BE15B942CDADABC122BEB7C2136881C,12,16,10,15,7.0,19.0
ÕÓH4F6F2B6A693270EB68ADB6521DAA86D0,8,8,8,8,,
’„G7C9ECA98895C3ED225BFAB372837D054,7,16,7,16,7.0,17.0
’„GFC8D084B032BC139E3C3DC029C8E67C7,14,23,11,21,6.0,7.0
’„GB0BE8107DC7B023F9C8D3A328A8510F1,7,16,7,16,7.0,17.0
’„GDABDC14C9142136FD413FDAFC8AAD13C,7,18,8,17,7.0,19.0
’„G79647B2E953C2177E091302FB8648AD5,12,19,13,18,8.0,17.0
’„GE88CC570F4C14ACC9DCFF7450F76E0BA,7,17,8,10,,
’„G8BF4A7F3A987F07048B9C965655E7B22,7,7,7,17,7.0,19.0
’„G631C4097DC8ADB59495991C839F24E37,7,17,7,16,7.0,18.0
’„G2870BA91E503393B9BE3096A94FABB1F,5,5,5,17,,
’„G70E45CE31EF639A565669CC8D9F9BBC8,7,17,7,17,7.0,18.0
’„G05C7B63D6D84FE6FC30695438424ECD7,8,17,8,17,8.0,17.0
’„G12A99D4692F4A3AAFD4D2655C8514BCA,8,18,8,22,8.0,19.0
’„G58DE17079BF7E31708D4312B3AAB55E5,7,21,8,18,,
’„GC59F9F01E3C9685D4F793A77346B6F63,7,17,8,16,8.0,17.0
’„G3DC6BE419552D906E2C2F10CEC262637,6,17,7,16,7.0,17.0
’„GF34DFEFAE30E9007EE4C5CD54771E2BF,7,16,7,17,7.0,17.0
’„GB2FC44ED004005720F5EB5BA9ADFF8ED,6,7,7,11,6.0,18.0
’„GF9FDE2483FC3AF7B88C7D8D73ADEC6E9,7,17,8,17,7.0,17.0
’„G807F6205DBCBC416CD3BCA6C36AE46C2,9,11,9,12,8.0,16.0
’„G63DF7440BBDA700B58AF377359D697ED,4,9,6,10,,
’„G76BC00E65D4BE2509268F37F6F7053F5,10,18,8,18,8.0,17.0
’„G7EA123AC1B075C17F85BB742267996CB,13,18,15,17,10.0,18.0
’„GCCF5DCA267563F8F1858D8F315D887D3,7,8,8,9,,
’„G5EB4F226F4DD37E607E3CD24DEEBACAA,7,8,8,17,7.0,8.0
’„G4BBD30CE8C9E78E21C9D254A83B7E6AE,6,17,7,18,7.0,18.0
’„G04865A742892A1C6545E9956BBBD7CAD,7,19,7,17,7.0,18.0
’„G28F8028E8CB3E4D5FC06C846A4FE2319,9,23,9,18,,
’„G63D9AFDBF3B3B3A794D58B316156829B,9,21,7,17,,
’„GCD43F908FFAEFB0B952F29895BBB8DB3,7,17,7,17,7.0,17.0
’„GF069410DDB157395A4E6A424EE1B6817,7,17,8,11,6.0,16.0
’„GF6A27696F501494B91C927285ADD1315,8,20,8,17,,
√ˆD27F0CA82F8F82FEE6DCFDCBF9524ECB7,7,19,20,20,7.0,16.0
’„GB52793631EB60684051FE46DA62D381E,8,12,13,17,8.0,18.0
’„KB5266914F33F80D39D46DD09200F8CE3,14,17,13,16,17.0,18.0
’„G3A0F38645008BF45633944A32ED64534,7,16,7,17,7.0,19.0
’„G9E68CC98361022403D62605639B2133B,11,11,11,15,10.0,11.0
’„G6C5CE428369830C67E207F7D84DB76B1,16,18,7,16,7.0,17.0
’„G96F4C28C824DF19FD2D18E2AAF201104,8,17,7,16,7.0,18.0
’„GAC082C51123D405D1D0F5242F7215AAA,8,17,7,16,,
’„GEFBAD3B0CDE1F071D9140917A9FE987D,7,8,7,17,7.0,16.0
’„G05746E23592123BB2B46E6BB4671BC02,7,21,7,17,7.0,18.0
’„GB93DD6453B2A2A9242AC36D65D171F0F,6,8,8,12,6.0,18.0
’„GED86F4D30AB2728969769FDD9DD0F4FC,7,14,8,8,6.0,22.0
’„GAC15C3525EFCFD21C5333EA4F53794D0,7,7,7,17,,
’„GEF5B18F46C97306B5C36C6D57306E1A0,7,17,8,18,7.0,17.0
’„G01D4AAED55AE0EB073E5DCBFE7D7C402,7,7,7,11,7.0,12.0
’„G52D242C1EDB246FF7DBBEE7032719FEA,8,15,12,15,,
’„G6876D09075811CA5B1E01A283B6840C1,7,18,7,18,7.0,21.0
’„G6F463A1CF7F1758BE0FB33D97E891CBA,7,18,7,17,7.0,17.0
’„GB77BE0DEC8FA98860B5AF4C710E5BF5B,7,17,8,17,7.0,18.0
’„GD28C6EECB2BAFE4FEBC7124FD2E24252,7,7,7,17,6.0,7.0
’„GA0CB93F296A38C71D9B700B556A26D4F,8,17,7,17,10.0,17.0
’„GB245FC46A4BDFFA88C13ED18FFA6B4B3,7,17,8,12,7.0,17.0
’„GE31BF1BA75E0E3DAA0B0F2C2D4302A95,7,18,7,17,7.0,11.0
’„GAB8C22FFCCE9B17AEC6FCA5B14E56F0A,7,9,7,8,6.0,19.0
’„GE8663C093438CA1A877B5B9D4E4C6812,7,16,7,17,6.0,20.0
’„G0367D2676C19F0C417E2F8D35A985F1E,6,16,7,17,7.0,17.0
’„G8138FBEAEE437BB6F301F7282BDE8562,9,19,9,17,,
’„G74C959F65BD3504B583500367CAB26BE,7,17,8,13,7.0,17.0
’„GC3902929DA8278CC6872C5B95FE1A29E,7,19,9,17,5.0,7.0
’„GCCCE9710968CB8745FA67552A840DB92,17,19,17,18,8.0,20.0
’„GEFECD76FE3BCC6FB6D634DECF46BB2AA,8,16,13,15,9.0,18.0
’„B526C3C663A2047BE792E714D6802676E,8,17,16,16,8.0,17.0
’„G23CF7C90778F47BDDC7FA83920244A6A,6,7,6,16,6.0,17.0
’„G086868DAB8C7FD0B4E86568A6110B87E,6,17,8,17,7.0,16.0
’„G4FE9A914C68A0D174C83766E989DC193,7,17,7,18,5.0,16.0
’„GA5E0EC04C5884A5275D0E505FA140D7B,8,17,9,16,15.0,18.0
’„A1643C4E80D899D85B08138D1E984D233,7,18,8,16,,
’„GD5E096EBBD578AD405FC58B025768FC8,6,17,8,16,7.0,17.0
’„G4C9EA573DF1D64A80172210ED4854BFE,7,7,7,17,7.0,17.0
’„GF564FF53E16CBA5D822E1B4480705E65,8,17,16,16,8.0,17.0
’„GF8D46D9106FE6A937A824AD90FBE4DD2,9,12,10,15,8.0,17.0
’„GD2C0896E47353AAB8B81EE1F0F713938,12,21,12,19,9.0,12.0
’„G8961334BCC87DACA17A206FF82FCE651,16,17,6,17,,
’„G416356AAC4D9E0D9A752730E2126FC97,7,18,7,16,7.0,17.0
’„G83673F6BE390AC5F4BFAEA7B65C8EC35,8,12,9,14,8.0,18.0
’„G73CFCC52FB4DB6564AE547C0AD6F6AE7,7,18,7,18,7.0,19.0
’„G2A60B83FE416D5826D36CC15C0E24DB8,10,20,8,17,,
’„G191DB6936B2B683ED4A0F0A139618763,8,19,6,17,6.0,16.0
’„GB33F0367D9CC0FEA352987EBA3BE4A38,16,16,6,19,7.0,19.0
’„GE16280371862C69BCCEF085B000E762C,7,17,8,18,7.0,18.0
’„G0116E67F3A5F7BD162BC2D18100D3DDB,8,19,7,18,8.0,18.0
’„G5959406AEDB2EB7700CE27C2A0EA58D4,8,17,8,17,,
’„G75BFDE35F63FDD2C6A85B4DEFE1CB7E0,7,17,8,8,6.0,7.0
’„G8B1F751966F6E8FB9BCD19781853E00A,9,11,8,16,,
’„G5D9AB9F2E513905BBAA3FAE3DD1FF8E2,8,8,8,18,,
’„G81F5B9C73BA3548BF7A4B291AD256A4D,7,7,7,16,6.0,17.0
’„G82352D720ED115932D62522306830571,12,20,12,18,12.0,18.0
’„G7D0A397B2DB3C3FD2AFF89E1C6540D6E,9,13,8,18,7.0,18.0
’„G2398E69278C035F438C49FF367820733,7,19,13,17,,
’„G9B9480E1145D4ED53EF67C9FB04F3F13,7,20,8,18,7.0,18.0
’„GFF5A3F91236E49E9908E401B584A2A54,8,17,8,17,8.0,19.0
’„GD19E52BB0865DC5AB6A04ABA3EB2C1CA,7,19,8,17,7.0,17.0
’„G226E493137899B46C62013D269C37DF8,6,14,6,13,8.0,22.0
’„GB8C58E677DC0ED30892EB91B5519503F,7,23,8,20,,
’„GE50BC0DED3A75CB63E797F2EE7C55AA0,7,19,8,19,7.0,19.0
’„G0C7B0EE4A9D0ECCF0CA4F6ECC7DB1DDA,8,18,9,17,,
’„G29BCF4E7C4A8CCB5DD9AA83FFF2104BA,7,18,7,17,7.0,7.0
’„G390234D4BBC4C2E018A3D58AC024EDD4,9,18,11,11,10.0,13.0
’„G429F846D958CABB3163707BF565D8EBD,8,15,8,15,8.0,9.0
’„G461E1D181CE54A192306817DADD4511B,7,19,7,16,7.0,17.0
’„GBE3E7FD7DCC91A167B95DB57B7D3E2BA,6,22,6,17,6.0,21.0
’„GFC823B6B20AC3FF65CF62F5E8CCAA2A2,6,9,6,12,,
’„GFD87B2DBDEEBA81A37C80190EDEBECD9,7,19,7,18,7.0,21.0
’„GCD47561074C9317274E4EAE38B29EDB2,7,17,7,17,8.0,17.0
’„G9CCB65C93E982AEED548A25174DA4183,8,18,9,12,8.0,18.0
’„GE2CDF6832B285A6628B78226B40336B0,9,17,6,17,7.0,12.0
’„G558EABD3F4291C5DFAE01C6E2933350A,8,18,8,17,7.0,18.0
’„G0EF7EB528F6666ABBF3E9CC3F6A08C3F,7,7,7,16,7.0,7.0
’„GF7C22722546FED17BBA8FA6A35965CE8,8,8,7,17,17.0,17.0
’„GD83C643592123A6A0067296F51BA13DB,7,18,7,18,7.0,18.0
’„G19B70576808B95A8962DABF8323CD16E,8,18,12,21,8.0,17.0
’„GB17899B4F483CE32B05F3A01242BD905,8,10,8,18,7.0,19.0
’„GF8F7897C6A2CADD05896B439F4668AD8,7,17,7,17,,
’„G00C5DA12890315B8886F27F266A5EC87,7,18,7,17,7.0,19.0
’„G1FCCB5C602193E7828D8BA5309F6C434,7,17,7,17,,
’„G3E354187C36AC1948232CF3A03387C41,6,20,8,13,6.0,17.0
’„G462F9C354614037BB4CFF0CD17F52D8B,8,11,8,11,,
’„G5549105112B38AE6C4DAD116982EC9D4,6,18,6,17,6.0,16.0
’„G6A678EC97A52442D3AD3CDE36C4C2A3B,7,20,12,17,,
’„G7FFE65D3CB746FF830F5960877BAAB55,9,19,9,20,9.0,18.0
’„G92DDC61F1209E52FDE263B087919021C,6,17,7,17,,
’„G9ACE425C607344B1EFC8030B00B45FC0,7,21,7,17,,
’„GBB3E2C55BAAC395563940D27628D2DF6,8,19,13,16,8.0,20.0
’„GBFE956C8544B5385761F0DC8E41CA683,7,19,8,17,7.0,22.0
’„GDF8890926D844D08AE6128387490DCBF,6,22,7,23,7.0,7.0
’„G3A2C820C48E9F71554E4EEC41BADFC30,8,10,8,12,,
’„G88F8688157DB928096E52EA02C55F041,6,21,6,21,6.0,22.0
’„G8A05F153C152FB6B3E18452EA405FD59,7,18,8,17,,
’„GA313082E9436BA99250E9154F6DEF6BF,9,18,11,17,,
’„GDA1339CAEF21576303A0B052FF83682B,8,17,10,16,,
’„G4D37C2E65341ED5C0202C32506E8E374,7,11,7,8,8.0,10.0
’„GD1C7D8619536CF700C1D808B0C0739EC,0,12,8,18,,
’„G48970BEF2F231C62EF357FE8D4AEDD2F,7,7,7,17,7.0,18.0
’„G371650E1132F76DD4CDF881F81672301,6,16,6,18,,
’„GA8EF64F74133AB8B3EB248D98664C634,8,9,9,18,,
’„G882E170A60F65E11DB60078EF42711E3,6,22,7,12,7.0,22.0
’„GF394ED94F811E5502A4D124EAD461BCD,7,17,7,21,7.0,17.0
’„GAFAD7A4F413B0F4651897319F73D6030,7,17,8,15,8.0,17.0
’„G6EC7DFB5AB10D1C4677E09BF5F53824D,7,18,7,18,,
’„GEA7589C29A19FCDAB5024631EC4966F6,7,18,7,18,7.0,20.0
’„G431C543D13EF6E329216628597D25107,8,8,8,18,8.0,18.0
’„G2E9420BB735B7C578E815691CA736C0D,8,18,8,17,8.0,17.0
’„G46DE209E0DEB334F8A5FF1C5DA8ACA11,7,17,7,17,7.0,10.0
’„G5A69F448577B3772421114926E45DCAC,10,17,11,14,8.0,12.0
’„GCD3F30BB6AEA716E067F96D97D04C30B,7,8,13,17,7.0,8.0
’„GF8BB87DA8513E4EF6514333D8A058752,7,14,9,18,7.0,16.0
’„GFB6B2C993F8C77F740DD918B4A120A20,8,17,7,17,,
’„G694D46B06E4F85188D209DD7B227B169,7,17,7,17,6.0,13.0
’„GA195902880B042450BD3641C5B6FD415,7,17,8,17,7.0,17.0
’„G92A39C734F0961A2C53015FE042D84E8,7,7,8,17,8.0,18.0
’„GCA564F214A6D18FCA869D1A13A5451AA,7,17,7,17,6.0,17.0
’„G103F4424200A76BE9DF05D20C50A8807,7,17,7,18,7.0,18.0
’„G27F1EA6DB81A76D82526ECA40F6995A5,6,18,8,17,,
’„G5B5B473A5275D270C67D96CD64F4F9C4,7,17,8,17,7.0,8.0
’„GC98A21992E2C9D41FA9A0E3834A8C5D4,4,14,8,9,9.0,10.0
’„G1A467C44D28221E0A039401A8CE65AC3,7,22,7,9,7.0,8.0
’„GA05F511A84F36C0599378921F8D1EF00,7,17,7,18,7.0,12.0
’„GC55EE6D8B00C4C11E6B8453AD0C7F3CF,6,19,7,18,7.0,7.0
ÕÓHE1F74CF5162C9E2593395343BE5663A2,8,17,9,19,8.0,19.0
’„G45EDA6AA696161EA3E90E5E4B0722A6B,7,18,8,18,7.0,20.0
’„G4690DD7CF196DFB34DF7601EF4874B84,7,17,6,17,7.0,18.0
’„G3B8001E670CD9EC3142CEC635421CE13,7,19,8,18,,
’„G0F0CD452565FE5100D76A10ABA0809C2,8,17,8,12,,
’„G87D8A0DDE86EEC170693F6C6192BCCD0,7,18,7,17,7.0,17.0
’„GD159A7F18DA385CF9699B8E370CADAA0,6,18,7,17,5.0,5.0
’„G14514957B24D898C12B8ECAEBA8C203C,7,10,8,16,7.0,18.0
’„GAD5B3EEF67CA086C5F85A7BA6AACD836,6,15,7,15,6.0,17.0
’„G8EA5FC58E9AA250012846224993AC45B,7,21,7,12,7.0,21.0
’„GBD737C3D49F610DD2D30C413E0B80995,7,17,8,17,8.0,17.0
’„GEFFBFE6413676F0CF0C0CCADC482AB65,7,18,7,19,6.0,8.0
’„GA5578C6CDB41A838B538C471C17344FF,7,13,7,17,7.0,15.0
’„G0C5FA50027E6E6874B8D702A23E77D80,6,10,5,9,,
’„G8B8D001D6A52F59090AB95EE76B70246,7,16,8,15,7.0,9.0
’„G94C6792ACEBFC23D6FF13A0C2C0E4488,8,21,8,16,,
’„GC848FE4B2372D221C76C3F2D01E4E226,7,17,7,17,8.0,17.0
’„GEA20B4C1A7D248239E5C4FA37235F9C4,18,18,7,17,7.0,19.0
’„G0119C2CD266648D4ACC87144C9071F4E,7,17,8,17,7.0,17.0
’„GD8C644FD8EF77B4D32B1A34BF97800EA,7,8,10,17,7.0,18.0
’„G39FE7F0A7C96B9DDD655703B7F951A9A,8,17,12,22,,
’„GEAA3479CEF0D354CB2089EEE9EBAC54E,1,16,7,17,1.0,7.0
’„G3575625E6E6CD8FB77B7C0101D612A29,7,17,7,17,18.0,18.0
’„G8CA98A3EC4F3BA5F333EBD21C10AF035,5,19,15,17,6.0,20.0
’„GFF92D818197EF47B6295616966B788DD,6,17,7,16,7.0,17.0
’„G4DF59A3F4A48E8D318300C50FA794505,8,17,7,21,,
’„G43C3502D0F5B8484047A45049AED46C5,0,23,0,14,,
’„GC247F081C67AB7D32984425CFCAF4328,6,6,6,6,6.0,6.0
’„GCF8F89E0A746806FB51F412B69CA853A,7,17,7,17,7.0,18.0
’„G4AE3C43477415547EBC2ED9AE1B6C105,7,16,7,17,7.0,17.0
’„GEDB855DDDB8484BF905D9D1E97B49FC5,7,19,8,17,,
’„G05B6CCB1E14F6A720D523FCE35751911,8,22,6,16,8.0,21.0
’„G2DAAB0793D1C60B28E8E46D8394D16C3,7,7,7,12,,
’„G30CA0CBACD5646D7B3A16A14901E7440,7,7,8,21,7.0,17.0
’„G73EE372972078468FF7F75453CE0DF94,7,16,10,15,8.0,16.0
’„G959A5A95465B08070E93FBB4D18F0E72,7,7,7,18,7.0,8.0
’„GC6B051D706550A2F0015EBC29A8FE098,10,13,12,13,,
’„GE928E1D604EEEAE955305A52361A3361,9,16,9,17,9.0,15.0
’„GEF07D2BF986F723FF45B8D0793F2C2FB,7,19,7,18,,
’„GF5AE5ADEEAD237A9CF3530A0AF7870D3,8,18,8,17,8.0,17.0
’„G8BA0094F12B964059D3BF9DEEA96DDE5,6,17,7,20,7.0,17.0
’„G2B3B77E5633C1A92FE9CC58D336BB291,7,23,7,17,7.0,8.0
’„G99A30A8E6C5FB91CD8E3C1D881AE611D,6,17,8,11,7.0,17.0
’„G68B65A8AD2653AFBEEAE4B4BB9196052,9,17,12,14,13.0,19.0
’„GE3DC16E45F670303DF781BA7D22616EC,9,15,11,14,9.0,16.0
’„G45EF97ADEC3BC3D4AC89BB46513F1CD2,8,16,11,17,9.0,15.0
’„G3876F8B95D50D40291BDBA84CFE0BA3A,9,12,11,13,7.0,8.0
’„G1FAEB302125F223F1376738BEC432548,6,7,5,8,,
’„GFBDEB45D4D852223AFF09A736531CD29,6,12,7,17,5.0,20.0
’„G100C189925124050334FD9174A9F322A,8,18,8,18,7.0,18.0
’„G837BC592DDBE8446CEF9FDDDCE360D92,6,20,6,17,5.0,6.0
’„G87045549E58F92BBF6A8259DAC799C9B,6,21,7,17,,
’„GC45E713A2A1DAD094BBFFCED957E1818,5,13,6,11,4.0,11.0
’„GD48604468B677114A470E66D5C701812,8,15,12,14,8.0,9.0
’„G2684CB89BC583560AD7A11B31DAABBBA,7,8,7,17,,
’„G6C0D22253A1E125CD54D5907F6F69694,6,19,7,17,6.0,7.0
’„G887944C3ED885C5F79AAA1446C6B71E2,6,17,7,12,5.0,17.0
’„G526D75BF122EAF8B2CB59DAD247D4466,7,20,7,16,7.0,20.0
’„G7A0C2A2CF757E0E840E962C2223FBE7D,1,13,17,19,12.0,13.0
’„G0CEDEB26C2B69D28ED92AF7E9CF00238,6,18,8,17,6.0,18.0
’„G3999B164BBF474697D5C3A1C8A1519C0,5,19,6,15,3.0,19.0
’„G5FCAFF1B74E2B181F557B890B722B043,8,9,9,21,8.0,20.0
’„G66E6413E9405E0F1F985BAB7C5937712,7,17,10,12,7.0,14.0
’„G3B8F4FCC91BE842BE4721426339E7753,9,21,9,12,,
’„G883D2CF82BAD2052E23ACC5BCE87F231,8,16,9,15,8.0,8.0
’„GADAAED53B75591AB4B2398EA9C91B3A9,7,17,8,15,7.0,17.0
’„GB7F2C833152421A1BA69B841B90CBBB7,7,18,7,17,7.0,17.0
’„G56EFBA4FCA114D177830FD9933C2FE45,6,20,6,20,6.0,19.0
’„G3FEA699B9D36E5C5BA5F72C3E1DFADFF,7,17,7,16,7.0,17.0
’„G943E5237FE4D409F5BB9D15EAE696310,8,8,8,18,7.0,8.0
’„GB268D086A70488DCAE1483B302523E12,7,7,7,17,,
’„G78BFF3FC0EF28FBEBD14F7C16B8C24F5,7,17,7,7,7.0,17.0
’„G8C96AB0754033252545AE58E4F0BD5F8,7,20,7,15,6.0,21.0
’„G41F9FCA1ACDCA53EECD023F0D64B0F4D,7,17,7,17,8.0,18.0
’„G7A2F1402BD2B394983F33F397D8792F8,6,19,5,18,10.0,13.0
’„G581BB342B7B50FC6096D6E41D8BB722B,7,21,12,15,7.0,22.0
’„G5E536D23715ED9458D2006D00D0EF984,10,17,9,9,7.0,17.0
’„GB94E1480EC01DC4E884540BB7BFFE64B,8,15,7,16,6.0,20.0
’„G97065AC1FDEFD818C61D832B5DE29734,7,8,8,17,,
’„G5A63A942C7C1848253C0891C970B005B,7,19,11,16,7.0,18.0
’„G041B10971526C1C9819C2D8F86B6052A,7,17,7,17,,
’„G28461BC8F3E1053E25FDE74ACF4682F8,7,22,8,8,,
’„G48FCF48A1A3F53DF170467D89AE21BE5,10,15,9,10,8.0,13.0
’„G4973976D56257080A68B0F7E6AC0D028,7,21,8,17,,
’„G67ED80B48D6C18E75C6739D35CC35767,7,18,7,17,8.0,15.0
’„G76F6335DAA619D75A978DB54194BACF0,13,19,13,13,13.0,20.0
’„G8A73DAA2156FF0CE28D71F6735166AEE,7,21,7,18,,
’„G98214FE083ACBE5F6DEBC23B69CBDF0B,8,17,9,13,8.0,15.0
’„GC959B45E91AE5F19E90006D27761DF9E,9,19,8,18,,
’„G663488BC802BAAEFBC3C14D13F32507F,10,17,10,11,9.0,16.0
’„G1EC97E6A269768A7698AE64B999C7A48,16,19,15,21,,
’„GAC40D1713EBA9B7702854F1F41277BA8,8,12,9,12,8.0,19.0
’„G1CE6575870AA4175573B0F795CA9D7A8,7,16,8,16,7.0,17.0
’„GC6D930AF27092630D423AA0A30FC732E,7,13,7,18,7.0,17.0
’„G613DFDA82FEA7FE0FC78378FAE094955,7,17,7,17,8.0,18.0
’„G40A133D5927F1AA66BAD575EAAC6996D,7,17,7,16,,
’„G75EB9E0F6E5B99BD7B356C8EF67A1294,7,8,8,18,7.0,19.0
’„G85A126B15052CD2B15F66089AD82D812,7,16,7,17,,
’„GCB8BFF62F52876D59A3C7FEB24D6AF6D,4,18,7,19,,
’„G9CBA399432858B274ED84E3759AE10F9,7,17,8,17,,
’„G55805A13B116D8BEC7A1A8C93853F5E6,7,17,7,20,,
’„G6475D875AF36DF481DCDCA441E281347,7,17,9,17,7.0,17.0
’„G2A231BCDCFE6391B4DD4E112A5D2617A,8,17,15,16,8.0,17.0
’„G66CD6E43A0E751FA8DDBD44AC7A50401,7,17,7,16,7.0,17.0
’„GC92B5ABFA8FD71A194EDA7046FC6A552,6,17,7,17,6.0,16.0
’„GFD7F6C687DC18A03B0628773EE5A49D6,8,12,9,13,8.0,15.0
’„G010A56D9CBD1C4E89F765688485239E3,7,17,8,17,7.0,17.0
’„G1ED7E8ADFFCD6C0BFF16BB30BED5F671,7,17,7,17,6.0,17.0
’„G442F7852C5070D78146DEBDB10B7EAFC,8,21,9,15,9.0,22.0
’„GB7A4DDF05377563A67DEBCFEB5AE017D,8,17,10,16,8.0,18.0
’„G71075DC20A89049E2A72EA06CC243E61,7,17,8,13,7.0,17.0
’„G78780938B404D680CA8CAAD9D1C0CFBD,7,17,7,21,7.0,17.0
’„G9A01CADAA3A3A5F85DCE967588EABF53,8,16,8,16,8.0,9.0
’„G896E8380F30125ED2763558C75EA8720,7,17,8,17,7.0,21.0
’„GF1859214C4CF096A5DFE6E67CFFA8103,7,17,7,16,7.0,20.0
’„G8FE78DA9A0EB7F111879FE05B6B98352,7,8,7,17,7.0,8.0
’„G7BCD8ED110DF6C6FA4E2BC29266594E1,7,17,7,8,7.0,17.0
’„G7A7C4994C9DF0FEBED5C4FBF4590663C,7,7,7,18,7.0,7.0
’„GB9DA99F3AAB9F31619B90F969F28603E,8,17,8,18,7.0,18.0
’„GC682F3C53F795518ABA064296853304B,7,17,7,17,6.0,17.0
’„G856D2AFFBC13F9490E3BE43EA4646195,7,17,9,21,7.0,18.0
’„GA87224778C574AB839223CD50E17AD92,8,20,8,14,,
’„G32E2CA61551B7B1D834CE951737694E6,7,16,8,21,7.0,17.0
’„G99BAC00871DC4E5D609BD11270CA6834,7,16,8,21,8.0,22.0
’„G03F7FE8F06BA966472C421A79B26FBC7,6,18,7,17,6.0,18.0
’„G08DF50A28C83ABA497D0A6454FD4BB12,7,8,7,22,,
’„GBCF5DE1A9834096AE3CF696323E6C327,8,16,9,16,,
’„GD43030687555101CAEB510E4502504B8,7,8,7,17,,
’„G851B5CA441F823ADA151145567EABBDD,6,17,7,16,5.0,18.0
’„G75E9C3B8D671E6C639D2AD57014B53AA,7,17,7,17,7.0,9.0
’„GECC4880BD9E2534B5E03D6BEDEB8D808,7,18,7,16,7.0,20.0
’„GAF9B71F62D916D64D963F1FCDEDD94D4,8,19,8,9,17.0,19.0
’„G2AEB8BCF449A353881BE793F1D4BE915,8,8,7,8,,
’„G5B85616A7EFC368D0C59838C4CC6CA83,7,17,8,16,7.0,18.0
’„G78C75BB50FBCB237527174FD80020AAD,8,8,8,8,,
œÊJBA901DF1B901ADE199EDA211A0557D25,8,18,8,18,,
’„G0A522D7B242D3BA82B37A1857004D3FB,7,18,7,17,7.0,18.0
’„GDDDFD200C60F6449A86984CD0C0AE159,4,6,6,7,,
’„G277AEAFF3AF92C7C32588848D22422C2,8,8,16,17,18.0,18.0
’„GF8D1EC51EFE91B4BCB72F7FCA252F0E2,8,16,9,13,8.0,17.0
’„GDC97A229E2F8B4EAB366D23D0D229AE0,6,16,6,19,6.0,8.0
’„G755B0AF42333D7D807774D75CDCBBC61,7,17,7,17,6.0,7.0
’„GF9BB77ED0D93C6275DDEAB906C936EA8,6,18,6,17,6.0,19.0
’„G9D765625050788CDA0E5E40B38820F26,7,19,9,20,7.0,19.0
’„GAB269062A9378AB9D938C2EEE5FCF14A,6,17,7,17,6.0,18.0
’„GB150CC1E8330B193BB1103A7930D0809,8,18,8,16,8.0,17.0
’„GC6DB683ED9A3AF8F267477DA9F49FE39,7,22,7,18,,
’„GE37690E17C1D5C2447AA01AC1929DD45,18,18,18,18,19.0,19.0
’„G134014ADD3DF5F59515BB64E568218E7,7,20,7,17,7.0,17.0
’„G2D8AA5733D9ED3297AEF91E8E15E6DF7,7,17,7,17,,
’„G38DA4E2FEDF6A48503A079173DF77733,15,15,16,16,,
’„G5831A1467CE5F4F133B8579741CA2F77,7,17,8,17,7.0,18.0
’„G5DC2233A1D799D27A46454542F99EF2E,7,20,7,17,7.0,7.0
’„G824E063B9CC2D11D47525639EAA80550,8,21,8,18,8.0,20.0
’„G95AA71CB8867847F757733A624EC16DA,8,20,8,13,,
’„GD7E986D038395207DB00963C0CB13901,8,18,1,17,8.0,18.0
’„GE8C6E2F78E617E9426E1A4BA4427E476,9,19,7,17,7.0,19.0
ÕÓA1DA2F8D3B3180C0E4C2AA111FE591A1E,7,17,7,7,,
ÕÓACE1FDE7526D02756A2FEC4DD019328E6,8,18,8,17,8.0,19.0
’„GA05F962C32DCCD814F54CF9795B500CB,8,21,8,19,8.0,20.0
’„GC228D2B15D1C6E5A8300CC6023D02E75,7,17,7,17,,
’„G03CE66F10B1F994322F20CD4BA902AE5,7,18,8,16,8.0,18.0
’„G7C63B2EEA0BE944C01B5B3F599FB5BA7,7,20,12,19,8.0,20.0
’„G6518C4E80F37C6E2177335C794D57EE0,7,22,8,20,7.0,21.0
’„GC3900A5C1D5A0D625A78FCA6094B5A33,8,19,8,17,7.0,20.0
’„GD4E594E09F7DD5A337B4F5EBE917BDB7,7,19,7,17,,
’„G1F93E8125385906470F9F4CABD6FB70D,7,18,7,17,7.0,20.0
’„G4089035F2AE93998B8DFC9EB375020DA,7,20,7,17,,
’„G734CB6EE2A172DA7FB51CD71C29B0176,6,18,7,17,6.0,18.0
’„G7C81A98ED85CEACD024FC68B84E6F932,8,18,8,12,7.0,19.0
’„G030DE7383EC2480C51BE3E0BC1EB5C08,6,18,8,17,7.0,18.0
’„GC86F825D024C384C8B8D720F806BDFBE,7,18,8,17,7.0,17.0
’„G018C7683C2EF0801F4758B6AE0A9295F,7,18,13,18,7.0,20.0
’„G7CEE4D82939FCBA986105BE2DC2BF4F8,7,21,7,17,7.0,21.0
’„G60D5FA08E1214B5C054E40885F0D5803,8,16,8,17,,
’„G688CC7614B3017B71EAC161F15A2CEF2,7,17,8,17,7.0,8.0
’„G8BDF9DCF6EB8BF3F67042FB64DED936D,7,17,7,17,7.0,7.0
’„GAA5683AD0F23D481CA1A2BCDE7AEA13F,7,17,7,17,7.0,17.0
’„G448A890DF6505DC3D1E1C3B477574F01,6,18,7,17,,
’„GC296A600C34E06B00497DC6BD8F4A9AF,8,19,8,17,8.0,19.0
’„G2C3082AE8ABAD7A3264A1645FB89D69A,8,19,11,14,,
